CUSTOMER_KEY	CUSTOMER_ID	OPERATING_REVENUE_TRAILING_365	CUSTOMER_ORDER_FIRST_PLACED_DTTM	CUSTOMER_ADDRESS_ZIP	CUSTOMER_ADDRESS_CITY	CUSTOMER_ADDRESS_STATE
7765526	2761773	12836.01893000000	2014-11-25 00:00:00.000	96067	Mt Shasta	CA
6172122	8881166	12663.58976000000	2016-08-05 00:00:00.000	30126-1190	mableton	GA
28247750251	83596518	12618.65331000000	2020-07-06 04:00:00.000	29848-2617	TROY	SC
299002401	14497487	12603.72794000000	2017-02-25 05:00:00.000	90265	Malibu	CA
174500015	11573693	12547.80850000000	2017-01-17 00:00:00.000	11050-3701	PORT WASHINGTON	NY
2136133	9940356	12463.33819000000	2016-09-01 00:00:00.000	54201-9799	ALGOMA	WI
3758329	3054878	12404.52790000000	2015-01-09 00:00:00.000	33157-5716	MIAMI	FL
927	4322	12359.21351000000	2012-06-06 00:00:00.000	19425	Chester Springs	PA
1063445	836907	12270.84753000000	2013-11-02 04:00:00.000	11932-4164	BRIDGEHAMPTON	NY
6888106	1393569	12260.38146000000	2014-02-22 00:00:00.000	70433-6335	COVINGTON	LA
21681751854	65892456	12104.42706000000	2020-10-14 04:00:00.000	29607-2610	GREENVILLE	SC
4999833	5626769	12091.13827000000	2015-11-20 00:00:00.000	64742-9235	DREXEL	MO
1125002375	21052659	11990.28604000000	2017-08-21 00:00:00.000	18419-2453	Factoryville	PA
4251000787	37252555	11950.53499000000	2018-06-19 00:00:00.000	98683-9687	VANCOUVER	WA
44359232006	148531354	11928.31379000000	2021-05-30 00:00:00.000	97524-5552	EAGLE POINT	OR
3006534	2579619	11887.72772000000	2014-10-23 04:00:00.000	58038-9409	Grandin	ND
43943609263	146586957	11881.19561000000	2021-05-15 04:00:00.000	77340-6514	HUNTSVILLE	TX
2930313	2339497	11869.12375000000	2014-09-12 00:00:00.000	77855-0243	Flynn	TX
4095634	549372	11837.08703000000	2013-06-09 04:00:00.000	92536-9148	AGUANGA	CA
6928399	1537890	11797.00265000000	2014-03-28 04:00:00.000	75212-6203	DALLAS	TX
946443	8733962	11796.33460000000	2016-06-30 00:00:00.000	94559-3618	Napa	CA
22986003613	68275741	11718.72109000000	2019-07-30 00:00:00.000	75212-6203	DALLAS	TX
4108380	4147422	11596.54925000000	2015-06-08 04:00:00.000	06883-2637	Weston	CT
3881888	3055392	11581.59109000000	2015-01-09 05:00:00.000	31520-3342	BRUNSWICK	GA
2764908	2177141	11564.82027000000	2014-11-18 00:00:00.000	18847-7471	SUSQUEHANNA	PA
37332518159	112961377	11555.23297000000	2020-09-29 00:00:00.000	29687-6547	TAYLORS	SC
2074751306	27919142	11372.54709000000	2018-01-05 05:00:00.000	95210-1307	STOCKTON	CA
13380750814	54048661	11352.18514000000	2019-03-15 04:00:00.000	77005-3806	HOUSTON	TX
598500046	15906692	11341.21418000000	2017-07-06 00:00:00.000	80105-8601	Deer Trail	CO
4142438	4266228	11325.09394000000	2015-06-22 00:00:00.000	33418-8633	palm beach gardens	FL
3922147	3343830	11311.60178000000	2015-02-20 00:00:00.000	08736-2242	MANASQUAN	NJ
2434506599	31126266	11239.01843000000	2018-02-27 05:00:00.000	61554	Pekin	IL
34806822302	103728360	11141.63026000000	2020-07-18 04:00:00.000	24018-5626	ROANOKE	VA
2059754785	27755452	11108.70934000000	2018-01-03 00:00:00.000	95946-8947	PENN VALLEY	CA
3035608	2639046	11091.03164000000	2016-06-11 00:00:00.000	34737-4537	HOWEY IN THE HILLS	FL
128752531	12660273	11080.76254000000	2016-12-28 05:00:00.000	05353-4433	Townshend	VT
3110883	2583571	11044.90942000000	2014-10-24 00:00:00.000	90048-3519	LOS ANGELES	CA
4976341	5554109	10981.25959000000	2015-11-14 00:00:00.000	29928	Hilton Head	SC
5717750073	41472588	10860.05346000000	2020-04-05 00:00:00.000	77375-3022	TOMBALL	TX
1112388	152090	10745.49540000000	2012-05-21 00:00:00.000	29669-9266	PELZER	SC
947643	8738828	10714.29120000000	2016-06-30 04:00:00.000	46140-8501	Greenfield	IN
2095758487	28213726	10676.57548000000	2018-01-09 05:00:00.000	77493-4928	Katy	TX
84607619700	922331682	10676.41425000000	2023-10-25 00:00:00.000	33556-5327	ODESSA	FL
3777131	2868915	10658.05828000000	2014-12-09 00:00:00.000	33141-4661	MIAMI BEACH	FL
5342750244	40378780	10570.58716000000	2018-08-13 04:00:00.000	44256	Medina	OH
33948750739	100747115	10496.50897000000	2020-06-23 00:00:00.000	97128-8645	Mcminnville	OR
5153709	6185456	10490.55309000000	2016-01-08 00:00:00.000	17101-1019	HARRISBURG	PA
4438502039	37738083	10457.47962000000	2018-06-28 04:00:00.000	71302-9250	Alexandria	LA
7908284	3325651	10380.65666000000	2015-02-17 00:00:00.000	29626	Anderson	SC
34841841009	103963547	10376.89684000000	2020-07-21 00:00:00.000	30577-4824	TOCCOA	GA
221374	54524	10329.82775000000	2014-07-14 04:00:00.000	05855-4525	NEWPORT	VT
4763762	4762549	10314.85363000000	2015-08-21 00:00:00.000	93230	Hanford	CA
44703363769	150071038	10270.25469000000	2021-08-06 00:00:00.000	32621-3132	BRONSON	FL
5807768	6100744	10185.74198000000	2016-01-10 00:00:00.000	08344-4931	Newfield	NJ
1831002	1346068	10118.64381000000	2014-02-09 00:00:00.000	19111-4127	Philadelphia	PA
7827218	3011426	10073.86665000000	2015-01-03 00:00:00.000	30642	Greensboro	GA
1536002974	23462488	10059.00824000000	2017-10-19 04:00:00.000	32110-4310	BUNNELL	FL
5375750142	40480993	9992.05458000000	2018-08-15 00:00:00.000	90241	Downey	CA
1907976	1469023	9977.32431000000	2014-03-12 04:00:00.000	20184-3038	UPPERVILLE	VA
4072917	3482966	9968.33514000000	2016-01-28 00:00:00.000	10022	New York	NY
8021095	4286209	9935.44731000000	2015-06-24 04:00:00.000	76016-1804	Arlington	TX
147500705	12846548	9919.03961000000	2017-01-08 00:00:00.000	26003-5209	WHEELING	WV
3493501009	35345582	9911.98236000000	2018-05-14 00:00:00.000	56762-9125	WARREN	MN
3393001055	35122422	9906.63956000000	2018-05-09 00:00:00.000	13655	Hogansburg	NY
14574750663	55702787	9868.91336000000	2019-03-06 00:00:00.000	77573-2233	LEAGUE CITY	TX
6470750347	43983682	9851.14731000000	2018-10-10 04:00:00.000	81410	Austin	CO
2786517	2211218	9771.07928000000	2014-08-18 00:00:00.000	32137-6928	PALM COAST	FL
768502276	18684038	9712.51665000000	2017-07-12 00:00:00.000	85705-1915	Tucson	AZ
5875149	6997780	9696.02207000000	2016-03-11 00:00:00.000	80829-2537	MANITOU SPRINGS	CO
6248299	7802741	9677.87073000000	2016-05-13 00:00:00.000	78028-9533	KERRVILLE	TX
583500387	17268222	9671.67454000000	2017-05-14 00:00:00.000	02481	Wellesley	MA
1936184	9521944	9662.64105000000	2016-08-10 00:00:00.000	86315-4023	PRESCOTT VALLEY	AZ
7762753	2750640	9654.64354000000	2014-11-22 00:00:00.000	50217-8070	Paton	IA
727506167	18358059	9620.85485000000	2017-06-13 04:00:00.000	90740-6159	SEAL BEACH	CA
3050096	2497675	9557.43704000000	2014-11-18 05:00:00.000	15920-9200	ARMAGH	PA
42124601625	139628706	9545.80883000000	2021-03-21 00:00:00.000	92007-2208	CARDIFF BY THE SEA	CA
3099148	2564188	9545.58120000000	2020-05-16 00:00:00.000	04921-3818	BROOKS	ME
184253198	13229489	9516.63798000000	2017-01-16 05:00:00.000	92284-9113	YUCCA VALLEY	CA
63673328043	895453135	9516.59677000000	2022-09-27 04:00:00.000	92082-7454	VALLEY CENTER	CA
18087751195	60491793	9507.73664000000	2019-05-03 00:00:00.000	76013-4110	ARLINGTON	TX
44902122747	151275533	9496.62576000000	2021-06-16 00:00:00.000	32907-2649	PALM BAY	FL
5125221	6077554	9471.57702000000	2015-12-30 00:00:00.000	07675-3006	WESTWOOD	NJ
648500324	17742285	9465.23415000000	2017-05-28 00:00:00.000	73013	Edmond	OK
152003685	12891143	9451.76421000000	2017-01-05 00:00:00.000	37086-3145	La Vergne	TN
23401252937	69228025	9440.07910000000	2019-08-11 00:00:00.000	97415	BROOKINGS	OR
308001622	14583735	9437.53115000000	2017-02-28 00:00:00.000	08848	Milford	NJ
2908500302	33926846	9411.21964000000	2018-04-24 00:00:00.000	47404-3804	Bloomington	IN
7127258	10262402	9401.00125000000	2016-09-18 00:00:00.000	44216-9763	CLINTON	OH
4770415	4794592	9397.40843000000	2015-08-25 00:00:00.000	07307-1825	JERSEY CITY	NJ
4167000372	37068572	9384.54488000000	2018-06-15 00:00:00.000	18612-3157	DALLAS	PA
341000088	14904963	9333.74234000000	2017-03-09 05:00:00.000	45327-9772	GERMANTOWN	OH
1954458	1554879	9322.42053000000	2014-04-01 00:00:00.000	33917-4943	NORTH FORT MYERS	FL
20850750920	64627711	9296.44522000000	2019-06-18 04:00:00.000	53546	JANESVILLE	WI
23848500544	70303643	9274.16732000000	2019-08-25 00:00:00.000	18013-9457	BANGOR	PA
6223282	8951772	9257.24012000000	2016-07-11 04:00:00.000	55309	Big Lake	MN
508502026	16724603	9237.19172000000	2018-06-02 04:00:00.000	30115-8220	CANTON	GA
6927143	1533212	9229.14314000000	2014-03-27 00:00:00.000	10013	New York	NY
5846061	6262647	9226.29687000000	2016-01-14 00:00:00.000	64485-8126	SAVANNAH	MO
2379253085	30655913	9220.50379000000	2018-02-19 00:00:00.000	11231-4702	BROOKLYN	NY
34838598230	103952877	9188.97314000000	2021-06-11 00:00:00.000	10970-3561	POMONA	NY
1939750743	26664413	9180.45644000000	2017-12-17 00:00:00.000	75949-7131	HUNTINGTON	TX
10671751203	50159168	9173.39746000000	2020-12-28 05:00:00.000	32686-4613	REDDICK	FL
928002	665948	9153.65854000000	2013-08-13 00:00:00.000	16125-8813	GREENVILLE	PA
1603501692	23866174	9109.19301000000	2017-10-28 00:00:00.000	90720	los alamitos	CA
2813377	2258710	9085.70478000000	2014-08-27 00:00:00.000	95220	acampo	CA
2124254791	28515127	9081.42718000000	2018-01-13 00:00:00.000	76247	Justin	TX
592502763	17337510	9074.70663000000	2017-05-16 00:00:00.000	34482-1269	OCALA	FL
4923701	4797188	9062.35449000000	2015-08-25 00:00:00.000	32967-2601	VERO BEACH	FL
1167297	1146189	9047.76452000000	2013-12-18 00:00:00.000	32686	Reddick	FL
5029937	5728277	9037.09326000000	2015-11-29 00:00:00.000	33334-1621	FORT LAUDERDALE	FL
41076571273	133693788	9009.25265000000	2021-02-07 00:00:00.000	21215-4505	BALTIMORE	MD
1257002805	21707723	8983.02137000000	2017-09-08 00:00:00.000	91024-1036	SIERRA MADRE	CA
6964742	9650190	8956.06017000000	2016-09-06 00:00:00.000	95125-2434	San Jose	CA
840600	8585990	8944.33832000000	2016-06-21 00:00:00.000	49690-9610	WILLIAMSBURG	MI
39037592972	127001203	8926.88412000000	2020-12-07 05:00:00.000	29848-2617	Troy	SC
7070315	10050947	8925.37940000000	2016-09-07 04:00:00.000	33019-4850	hollywood	FL
7817761	2975002	8919.67567000000	2015-02-07 00:00:00.000	29128-9620	REMBERT	SC
2156598	1889735	8909.29052000000	2014-06-15 00:00:00.000	12180	Troy	NY
36043347008	109134368	8890.66838000000	2020-08-30 04:00:00.000	34786-5405	WINDERMERE	FL
51623849888	200488912	8889.05573000000	2021-12-22 05:00:00.000	28146-2273	SALISBURY	NC
5911251729	42090136	8870.65447000000	2018-09-09 00:00:00.000	32080	Saint Augustine	FL
3085500846	34402154	8858.46825000000	2018-04-26 04:00:00.000	33613	Tampa	FL
5366751768	40462434	8847.07892000000	2018-08-14 00:00:00.000	60118	West Dundee	IL
446750033	14908151	8818.90017000000	2017-04-13 00:00:00.000	19720-2382	NEW CASTLE	DE
490500617	16602103	8798.56729000000	2017-05-03 00:00:00.000	53103-9694	Big Bend	WI
4164115	568729	8769.19268000000	2013-06-22 00:00:00.000	67501-8756	HUTCHINSON	KS
2872435	2359281	8769.08274000000	2014-09-16 00:00:00.000	11960	Remsenburg	NY
5311251058	40293626	8752.82256000000	2018-08-11 00:00:00.000	16671-1100	RAMEY	PA
44926216346	151454426	8738.28784000000	2021-06-17 00:00:00.000	43026-7789	HILLIARD	OH
6232234	877596	8687.40966000000	2013-11-03 00:00:00.000	02332-2935	DUXBURY	MA
2232255403	29477649	8645.16347000000	2018-01-28 05:00:00.000	34608-5312	Spring Hill	FL
6904736	1452801	8641.60687000000	2014-03-31 00:00:00.000	57105-6905	Sioux Falls	SD
2671501518	32981245	8573.09631000000	2018-04-01 00:00:00.000	78163	bulverde	TX
1624500150	23984253	8572.42141000000	2017-10-31 00:00:00.000	32205-9037	Jacksonville	FL
1141398	8210545	8563.10437000000	2016-08-01 04:00:00.000	34475-5600	Ocala	FL
3025512	2461031	8558.74189000000	2014-10-03 00:00:00.000	11361-1514	BAYSIDE	NY
15783750058	57153637	8555.49600000000	2019-03-26 00:00:00.000	19064-2107	SPRINGFIELD	PA
17334750682	52105109	8532.25345000000	2019-04-20 00:00:00.000	27516-8167	CHAPEL HILL	NC
4215381	4566077	8531.31524000000	2015-07-29 00:00:00.000	60543-8886	OSWEGO	IL
3160500500	34591642	8484.55258000000	2018-04-29 00:00:00.000	33405-3329	WEST PALM BEACH	FL
2860806	10342200	8457.11978000000	2016-09-22 00:00:00.000	92376-7106	RIALTO	CA
2804347	288823	8437.11303000000	2012-10-17 00:00:00.000	27312-9607	Pittsboro	NC
56405832035	884090167	8414.42837000000	2022-04-04 00:00:00.000	95415-9106	BOONVILLE	CA
1097001	9020906	8404.63277000000	2016-07-14 00:00:00.000	10016-5385	NEW YORK	NY
4024994	3804315	8402.30577000000	2015-04-22 00:00:00.000	60625-5201	CHICAGO	IL
4231667	4073315	8377.03772000000	2015-06-06 00:00:00.000	19115-4283	PHILADELPHIA	PA
4183940	4415793	8363.87793000000	2015-07-10 04:00:00.000	10562-1402	OSSINING	NY
4074201	3991915	8353.34336000000	2015-06-04 00:00:00.000	27104-1841	WINSTON SALEM	NC
413750615	15688260	8328.37786000000	2017-04-02 00:00:00.000	93274-3347	TULARE	CA
1837756778	25690446	8328.00454000000	2017-12-01 00:00:00.000	11228	Brooklyn	NY
1756505500	24893776	8320.66031000000	2017-11-18 00:00:00.000	28037-9106	Denver	NC
41535064261	135353669	8281.01962000000	2021-02-21 00:00:00.000	29621-2704	ANDERSON	SC
34266002339	101907192	8276.38998000000	2020-07-13 04:00:00.000	81623-2322	CARBONDALE	CO
13518751246	54240401	8275.64921000000	2019-02-17 00:00:00.000	27282-9472	JAMESTOWN	NC
75629101916	283983641	8273.74662000000	2023-04-29 00:00:00.000	11554-2914	EAST MEADOW	NY
71698362696	279689310	8263.77458000000	2023-02-15 00:00:00.000	33330-3002	SW Ranches	FL
5756780	6578988	8237.56141000000	2016-02-08 00:00:00.000	07034	Lake Hiawatha	NJ
109254066	12518190	8233.43614000000	2016-12-21 00:00:00.000	12508-1574	Beacon	NY
2161874	1898008	8197.59198000000	2014-06-16 00:00:00.000	11765-1004	MILL NECK	NY
6160302	7421648	8196.48163000000	2016-05-12 00:00:00.000	34990-5286	PALM CITY	FL
37802067529	115629666	8194.84286000000	2020-10-18 00:00:00.000	74723	BENNINGTON	OK
1998309	9622598	8192.02670000000	2016-08-15 00:00:00.000	37334-3755	FAYETTEVILLE	TN
22719000040	63959805	8159.98618000000	2019-07-29 04:00:00.000	79916	El Paso	TX
5754154	5885150	8159.71915000000	2016-03-19 04:00:00.000	72921	Alma	AR
197753161	13357900	8144.45205000000	2017-01-21 00:00:00.000	33487	Boca raton	FL
6280250079	43611229	8141.93219000000	2018-10-04 04:00:00.000	97502-9433	Central Point	OR
380751425	15335160	8134.35297000000	2017-03-21 00:00:00.000	36567-5950	ROBERTSDALE	AL
1063502230	20677134	8132.31983000000	2017-08-11 04:00:00.000	76401	STEPHENVILLE	TX
76160842035	913980069	8130.29560000000	2023-05-08 04:00:00.000	53704-2523	MADISON	WI
502503086	16684638	8120.29566000000	2017-04-28 00:00:00.000	58801-9284	WILLISTON	ND
437000397	15981133	8084.62830000000	2017-04-09 00:00:00.000	85266-8858	SCOTTSDALE	AZ
61007389685	265263122	8084.57068000000	2022-06-29 00:00:00.000	11226-7403	BROOKLYN	NY
1731000018	24718324	8073.57999000000	2017-11-15 05:00:00.000	93635-2959	LOS BANOS	CA
106253674	12493265	8057.95851000000	2016-12-20 00:00:00.000	45226	Cincinnati	OH
3085930	10578335	8056.05157000000	2016-10-03 04:00:00.000	92127-5725	SAN DIEGO	CA
6099695	7820302	8051.11959000000	2016-05-11 00:00:00.000	01770-1222	SHERBORN	MA
7127289	10262483	8048.23945000000	2016-09-27 00:00:00.000	30067-5020	MARIETTA	GA
25255504170	73886673	8030.28570000000	2020-06-13 00:00:00.000	78754-5799	AUSTIN	TX
6900597	1437746	8017.52381000000	2014-03-04 00:00:00.000	12538-1864	HYDE PARK	NY
3907501407	36352616	7994.88557000000	2018-11-02 04:00:00.000	92264-9492	PALM SPRINGS	CA
2929777	2337643	7990.99110000000	2014-09-12 00:00:00.000	02130-4803	Jamaica Plain	MA
15006734	11640659	7986.29229000000	2016-11-20 05:00:00.000	12833-1851	GREENFIELD CENTER	NY
3816918	2934593	7974.02465000000	2015-02-14 05:00:00.000	94536-1966	FREMONT	CA
195500502	13341616	7959.27909000000	2017-01-21 05:00:00.000	46069-9244	SHERIDAN	IN
5225518	691193	7954.03270000000	2013-08-26 00:00:00.000	06278-1221	Ashford	CT
1889058	9435074	7948.32654000000	2016-08-06 00:00:00.000	85711-5419	TUCSON	AZ
35934087032	108612451	7945.34080000000	2020-09-03 00:00:00.000	44030-1211	CONNEAUT	OH
2792894	10228641	7945.03049000000	2019-08-04 00:00:00.000	98001-1925	AUBURN	WA
26533004826	79296787	7941.52764000000	2019-11-28 00:00:00.000	82513	Dubois	WY
19640	8039002	7926.94077000000	2016-05-24 04:00:00.000	18801-6610	MONTROSE	PA
1820223	9332700	7923.70387000000	2016-08-01 04:00:00.000	12589-2952	WALLKILL	NY
49180113305	182680847	7913.59501000000	2021-10-27 00:00:00.000	06457-7503	MIDDLETOWN	CT
74501852936	905756298	7910.82281000000	2023-04-04 04:00:00.000	44667-1638	ORRVILLE	OH
4917458	4769190	7892.99188000000	2015-08-22 00:00:00.000	17403	YORK	PA
37288572388	112671438	7887.87439000000	2020-10-01 00:00:00.000	95691-4913	WEST SACRAMENTO	CA
1920541	1491564	7880.01589000000	2014-03-17 00:00:00.000	22553-1819	SPOTSYLVANIA	VA
1749004467	24851344	7878.30886000000	2018-05-02 00:00:00.000	14304-1981	NIAGARA FALLS	NY
6938496	1573795	7871.83882000000	2014-04-05 04:00:00.000	33415-2705	West Palm Beach	FL
1665005388	24247748	7870.15076000000	2017-11-05 00:00:00.000	95006-8549	BOULDER CREEK	CA
4787846	4323157	7862.91856000000	2017-01-18 00:00:00.000	32223-1917	JACKSONVILLE	FL
7227249	2616772	7858.95477000000	2014-10-30 00:00:00.000	19428-1501	Conshohocken	PA
37533091578	114277601	7842.71402000000	2020-12-12 00:00:00.000	32531-7253	BAKER	FL
2391005112	30729205	7830.89972000000	2018-02-21 00:00:00.000	88220-9413	Carlsbad	NM
8848500171	47850053	7814.38121000000	2018-12-03 00:00:00.000	29824-1406	EDGEFIELD	SC
7100892	10166601	7786.58795000000	2016-09-13 00:00:00.000	33414-7135	WELLINGTON	FL
12870751056	53387147	7754.00807000000	2019-06-04 04:00:00.000	60451-9742	NEW LENOX	IL
89738840732	297104758	7751.42989000000	2024-04-29 04:00:00.000	20401-0001	WASHINGTON	DC
50831329913	197427161	7743.44795000000	2021-12-05 00:00:00.000	83404-7277	IDAHO FALLS	ID
2302755124	29762947	7736.85194000000	2018-02-08 00:00:00.000	02889-6837	WARWICK	RI
8170501022	46771275	7718.59346000000	2020-02-07 00:00:00.000	92663-4636	NEWPORT BEACH	CA
8790992	6343844	7717.80847000000	2016-04-28 00:00:00.000	12526	Germantown	NY
925505444	19892001	7711.17575000000	2017-07-23 00:00:00.000	85020-5518	PHOENIX	AZ
38336814149	120628719	7701.64771000000	2020-11-10 05:00:00.000	34997-8827	Stuart	FL
4998518	5021715	7697.65845000000	2015-09-20 00:00:00.000	85643-4557	WILLCOX	AZ
2830559	2168298	7672.11127000000	2014-08-10 00:00:00.000	33412-1417	West Palm Beach	FL
5507755788	40880634	7660.39799000000	2018-08-21 00:00:00.000	84770	Saint George	UT
964798	679870	7648.86438000000	2013-09-25 00:00:00.000	92109-1911	San Diego	CA
2143754284	28730144	7645.40788000000	2018-01-22 05:00:00.000	48864	OKEMOS	MI
1988028	1696701	7635.59311000000	2014-05-04 00:00:00.000	93730-3566	Fresno	CA
538503263	16938557	7624.91720000000	2017-05-05 00:00:00.000	79701-5938	Midland	TX
2002761381	25917916	7616.82858000000	2017-12-26 00:00:00.000	29708-8913	FORT MILL	SC
3920092	3127406	7613.39035000000	2015-01-19 00:00:00.000	32686	reddick	FL
5933818	7235935	7613.26024000000	2016-03-29 00:00:00.000	92243-2515	El Centro	CA
7097686	2154047	7611.38883000000	2014-08-08 00:00:00.000	28626-9435	FLEETWOOD	NC
5218251065	39982111	7610.18273000000	2018-08-06 00:00:00.000	48324-1852	West Bloomfield	MI
4167002	3867602	7609.09126000000	2015-05-01 00:00:00.000	11218-1017	BROOKLYN	NY
7111854	10208489	7608.43036000000	2016-09-15 04:00:00.000	10595	Valhalla	NY
